field1,field2,field3,field4
Forty Signs of Rain,Kim Stanley Robinson,https://www.goodreads.com/book/show/41129.Forty_Signs_of_Rain,The bestselling author of the classic Mars trilogy and The Years of Rice and Salt returns with a riveting new trilogy of cutting-edge science international politics and the real-life ramifications of global warming as they are played out in our nation’s capital—and in the daily lives of those at the center of the action. Hauntingly realistic here is a novel of the near future that is inspired by scientific facts already making headlines.  When the Arctic ice pack was first measured in the 1950s it averaged thirty feet thick in midwinter. By the end of the century it was down to fifteen. One August the ice broke. The next year the breakup started in July. The third year it began in May. That was last year.  It’s an increasingly steamy summer in the nation’s capital as Senate environmental staffer Charlie Quibler cares for his young son and deals with the frustrating politics of global warming. Charlie must find a way to get a skeptical administration to act before it’s too late—and his progeny find themselves living in Swamp World. But the political climate poses almost as great a challenge as the environmental crisis when it comes to putting the public good ahead of private gain.  While Charlie struggles to play politics his wife Anna takes a more rational approach to the looming crisis in her work at the National Science Foundation. There a proposal has come in for a revolutionary process that could solve the problem of global warming—if it can be recognized in time. But when a race to control the budding technology begins the stakes only get higher. As these everyday heroes fight to align the awesome forces of nature with the extraordinary march of modern science they are unaware that fate is about to put an unusual twist on their work—one that will place them at the heart of an unavoidable storm.  With style wit and rare insight into our past present and possible future this captivating novel propels us into a world on the verge of unprecedented change—in a time quite like our own. Here is Kim Stanley Robinson at his visionary best offering a gripping cautionary tale of progress—and its price—as only he can tell it.   From the Hardcover edition.
Gideon the Ninth,Tamsyn Muir,https://www.goodreads.com/book/show/42036538-gideon-the-ninth,The Emperor needs necromancers.  The Ninth Necromancer needs a swordswoman.  Gideon has a sword some dirty magazines and no more time for undead bullshit.  Brought up by unfriendly ossifying nuns ancient retainers and countless skeletons Gideon is ready to abandon a life of servitude and an afterlife as a reanimated corpse. She packs up her sword her shoes and her dirty magazines and prepares to launch her daring escape. But her childhood nemesis won't set her free without a service.  Harrowhark Nonagesimus Reverend Daughter of the Ninth House and bone witch extraordinaire has been summoned into action. The Emperor has invited the heirs to each of his loyal Houses to a deadly trial of wits and skill. If Harrowhark succeeds she will become an immortal all-powerful servant of the Resurrection but no necromancer can ascend without their cavalier. Without Gideon's sword Harrow will fail and the Ninth House will die.  Of course some things are better left dead.
11/22/63,Stephen King,https://www.goodreads.com/book/show/10644930-11-22-63,Jake Epping is a thirty-five-year-old high school English teacher in Lisbon Falls Maine who makes extra money teaching adults in the GED program. He receives an essay from one of the students—a gruesome harrowing first person story about the night 50 years ago when Harry Dunning’s father came home and killed his mother his sister and his brother with a hammer. Harry escaped with a smashed leg as evidenced by his crooked walk.  Not much later Jake’s friend Al who runs the local diner divulges a secret: his storeroom is a portal to 1958. He enlists Jake on an insane—and insanely possible—mission to try to prevent the Kennedy assassination. So begins Jake’s new life as George Amberson and his new world of Elvis and JFK of big American cars and sock hops of a troubled loner named Lee Harvey Oswald and a beautiful high school librarian named Sadie Dunhill who becomes the love of Jake’s life—a life that transgresses all the normal rules of time.
The Lifecycle of Software Objects,Ted Chiang,https://www.goodreads.com/book/show/7886338-the-lifecycle-of-software-objects,"What's the best way to create artificial intelligence? In 1950 Alan Turing wrote ""Many people think that a very abstract activity like the playing of chess would be best. It can also be maintained that it is best to provide the machine with the best sense organs that money can buy and then teach it to understand and speak English. This process could follow the normal teaching of a child. Things would be pointed out and named etc. Again I do not know what the right answer is but I think both approaches should be tried.""  The first approach has been tried many times in both science fiction and reality. In this new novella at over 30000 words his longest work to date Ted Chiang offers a detailed imagining of how the second approach might work within the contemporary landscape of startup companies massively-multiplayer online gaming and open-source software. It's a story of two people and the artificial intelligences they helped create following them for more than a decade as they deal with the upgrades and obsolescence that are inevitable in the world of software. At the same time it's an examination of the difference between processing power and intelligence and of what it means to have a real relationship with an artificial entity."
The Man Who Fell to Earth,Walter Tevis,https://www.goodreads.com/book/show/396329.The_Man_Who_Fell_to_Earth,T.J. Newton is an extraterrestrial who goes to Earth on a desperate mission of mercy. But instead of aid Newton discovers loneliness and despair that ultimately ends in tragedy.
Dauntless,Jack Campbell,https://www.goodreads.com/book/show/112292.Dauntless,"The Alliance has been fighting the Syndics for a century--and losing badly. Now its fleet is crippled and stranded in enemy territory. Their only hope is a man who's emerged from a century-long hibernation to find he has been heroically idealized beyond belief...  Captain John ""Black Jack"" Geary's legendary exploits are known to every schoolchild. Revered for his heroic ""last stand"" in the early days of the war he was presumed dead. But a century later Geary miraculously returns from survival hibernation and reluctantly takes command of the Alliance fleet as it faces annihilation by the Syndics.  Appalled by the hero-worship around him Geary is nevertheless a man who will do his duty. And he knows that bringing the stolen Syndic hypernet key safely home is the Alliance's one chance to win the war. But to do that Geary will have to live up to the impossibly heroic ""Black Jack"" legend..."
The Man Who Folded Himself,David Gerrold,https://www.goodreads.com/book/show/624122.The_Man_Who_Folded_Himself,This classic work of science fiction is widely considered to be the ultimate time-travel novel. When Daniel Eakins inherits a time machine he soon realizes that he has enormous power to shape the course of history. He can foil terrorists prevent assassinations or just make some fast money at the racetrack. And if he doesn't like the results of the change he can simply go back in time and talk himself out of making it! But Dan soon finds that there are limits to his powers and forces beyond his control.
Embassytown,China Miéville,https://www.goodreads.com/book/show/9265453-embassytown,In the far future humans have colonized a distant planet home to the enigmatic Ariekei sentient beings famed for a language unique in the universe one that only a few altered human ambassadors can speak.  Avice Benner Cho a human colonist has returned to Embassytown after years of deep-space adventure. She cannot speak the Ariekei tongue but she is an indelible part of it having long ago been made a figure of speech a living simile in their language.  When distant political machinations deliver a new ambassador to Arieka the fragile equilibrium between humans and aliens is violently upset. Catastrophe looms and Avice is torn between competing loyalties—to a husband she no longer loves to a system she no longer trusts and to her place in a language she cannot speak yet speaks through her.
Nova,Samuel R. Delany,https://www.goodreads.com/book/show/85863.Nova,These are [at least some of] the ways you can read NOVA: as a fast-action farflung interstellar adventure
Nightfall,"Isaac Asimov, Robert Silverberg",https://www.goodreads.com/book/show/99245.Nightfall,Imagine living on a planet with six suns that never experiences Darkness. Imagine never having seen the Stars. Then one by one your suns start to set gradually leading you into Darkness for the first time ever. Image the terror of such a Nightfall.  Scientists on the planet Kalgash discover that an eclipse - an event that occurs only every 2049 years - is imminent and that a society unfamiliar with Darkness will be plunged into madness and chaos. They realize that their civilization will end for the people of Kalgash have a proven fear of Darkness but they are unable to predict the insanity and destruction that will accompany the awesome splendor of Nightfall.
The Dog Stars,Peter Heller,https://www.goodreads.com/book/show/13330761-the-dog-stars,Hig somehow survived the flu pandemic that killed everyone he knows. Now his wife is gone his friends are dead and he lives in the hangar of a small abandoned airport with his dog Jasper and a mercurial gun-toting misanthrope named Bangley.   But when a random transmission beams through the radio of his 1956 Cessna the voice ignites a hope deep inside him that a better life exists outside their tightly controlled perimeter. Risking everything he flies past his point of no return and follows its static-broken trail only to find something that is both better and worse than anything he could ever hope for.
Lord of Light,Roger Zelazny,https://www.goodreads.com/book/show/13821.Lord_of_Light,Earth is long since dead. On a colony planet a band of men has gained control of technology made themselves immortal and now rule their world as the gods of the Hindu pantheon. Only one dares oppose them: he who was once Siddhartha and is now Mahasamatman. Binder of Demons Lord of Light.
The Hydrogen Sonata,Iain M. Banks,https://www.goodreads.com/book/show/13497991-the-hydrogen-sonata,The Scavenger species are circling. It is truly provably the End Days for the Gzilt civilization.  An ancient people organized on military principles and yet almost perversely peaceful the Gzilt helped set up the Culture ten thousand years earlier and were very nearly one of its founding societies deciding not to join only at the last moment. Now they've made the collective decision to follow the well-trodden path of millions of other civilizations
Imago,Octavia E. Butler,https://www.goodreads.com/book/show/60934.Imago,The stunning conclusion to a postapocalyptic trilogy about an alien species merging with humans—from “one of science fiction’s finest writers” (TheNew York Times). Human and Oankali have been mating since the aliens first came to Earth to rescue the few survivors of an annihilating nuclear war. The Oankali began a massive breeding project guided by the ooloi a sexless subspecies capable of manipulating DNA in the hope of eventually creating a perfect starfaring race. Jodahs is supposed to be just another hybrid of human and Oankali but as he begins his transformation to adulthood he finds himself becoming ooloi—the first ever born to a human mother. As his body changes Jodahs develops the ability to shapeshift manipulate matter and cure or create disease at will. If this frightened young man is able to master his new identity Jodahs could prove the savior of what’s left of mankind. Or if he is not careful he could become a plague that will destroy this new race once and for all.
The Knife of Never Letting Go,Patrick Ness,https://www.goodreads.com/book/show/2118745.The_Knife_of_Never_Letting_Go,Prentisstown isn't like other towns. Everyone can hear everyone else's thoughts in an overwhelming never-ending stream of Noise. Just a month away from the birthday that will make him a man Todd and his dog Manchee—whose thoughts Todd can hear too whether he wants to or not—stumble upon an area of complete silence. They find that in a town where privacy is impossible something terrible has been hidden—a secret so awful that Todd and Manchee must run for their lives.  But how do you escape when your pursuers can hear your every thought?
The Status Civilization,Robert Sheckley,https://www.goodreads.com/book/show/668645.The_Status_Civilization,Will Barrent had no memory of his crime . . . but he found himself shipped across space to a brutal prison-planet. On Omega his only chance to advance himself -- and stay alive -- is to commit an endless series of violent crimes. The average inmate's life expectancy from time of arrival is three years. Can Barrett survive escape and return to Earth to clear his name?
The Left Hand of Darkness,Ursula K. Le Guin,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,A groundbreaking work of science fiction The Left Hand of Darkness tells the story of a lone human emissary to Winter an alien world whose inhabitants can choose - and change - their gender. His goal is to facilitate Winter's inclusion in a growing intergalactic civilization. But to do so he must bridge the gulf between his own views and those of the completely dissimilar culture that he encounters.  Embracing the aspects of psychology society and human emotion on an alien world The Left Hand of Darkness stands as a landmark achievement in the annals of intellectual science fiction.
The 5th Wave,Rick Yancey,https://www.goodreads.com/book/show/16101128-the-5th-wave,After the 1st wave only darkness remains. After the 2nd only the lucky escape. And after the 3rd only the unlucky survive. After the 4th wave only one rule applies: trust no one.  Now it's the dawn of the 5th wave and on a lonely stretch of highway Cassie runs from Them. The beings who only look human who roam the countryside killing anyone they see. Who have scattered Earth's last survivors. To stay alone is to stay alive Cassie believes until she meets Evan Walker. Beguiling and mysterious Evan Walker may be Cassie's only hope for rescuing her brother-or even saving herself. But Cassie must choose: between trust and despair between defiance and surrender between life and death. To give up or to get up.
The Water Knife,Paolo Bacigalupi,https://www.goodreads.com/book/show/23209924-the-water-knife,"In the American Southwest Nevada Arizona and California skirmish for dwindling shares of the Colorado River. Into the fray steps Angel Velasquez leg-breaker assassin and spy. A Las Vegas water knife Angel ""cuts"" water for his boss Catherine Case ensuring that her luxurious developments can bloom in the desert so the rich can stay wet while the poor get dust. When rumors of a game-changing water source surface in drought-ravaged Phoenix it seems California is making a play to monopolize the life-giving flow of the river and Angel is sent to investigate. There he encounters Lucy Monroe a drought-hardened journalist and Maria Villarosa a young refugee who survives by her wits in a city that despises everything she represents. For Angel Lucy and Maria time is running out and their only hope for survival rests in each other’s hands. But when water is more valuable than gold alliances shift like sand and the only thing for certain is that someone will have to bleed if anyone hopes to drink."
The Light of Other Days,"Arthur C. Clarke, Stephen Baxter",https://www.goodreads.com/book/show/823062.The_Light_of_Other_Days,When a brilliant driven industrialist harnesses the cutting edge of quantum physics to enable people everywhere at trivial cost to see one another at all times: around every corner through every wall into everyone's most private hidden and even intimate moments. It amounts to the sudden and complete abolition of human privacy--forever.  Then as society reels the same technology proves able to look backwards in time as well. What happens next is a story only Arthur C. Clarke and Stephen Baxter could tell. The Light of Other Days is a novel that will change your view of what it is to be human.
Adulthood Rites,Octavia E. Butler,https://www.goodreads.com/book/show/116249.Adulthood_Rites,"In this sequel to Dawn Lilith Iyapo has given birth to what looks like a normal human boy named Akin. But Akin actually has five parents: a male and female human a male and female Oankali and a sexless Ooloi. The Oankali and Ooloi are part of an alien race that rescued humanity from a devastating nuclear war but the price they exact is a high one the aliens are compelled to genetically merge their species with other races drastically altering both in the process.  On a rehabilitated Earth this ""new"" race is emerging through human/Oankali/Ooloi mating but there are also ""pure"" humans who choose to resist the aliens and the salvation they offer.These resisters are sterilized by the Ooloi so that they cannot reproduce the genetic defect that drives humanity to destroy itself but otherwise they are left alone (unless they become violent).  When the resisters kidnap young Akin the Oankali choose to leave the child with his captors for he the most ""human"" of the Oankali children will decide whether the resisters should be given back their fertility and freedom even though they will only destroy themselves again.  This is the second volume in Octavia Butler's Xenogenesis series a powerful tale of alien existence."
Red Queen,Victoria Aveyard,https://www.goodreads.com/book/show/22328546-red-queen,This is a world divided by blood—red or silver. The Reds are commoners ruled by a Silver elite in possession of god-like superpowers. And to Mare Barrow a seventeen-year-old Red girl from the poverty-stricken Stilts it seems like nothing will ever change. That is until she finds herself working in the Silver Palace. Here surrounded by the people she hates the most Mare discovers that despite her red blood she possesses a deadly power of her own. One that threatens to destroy the balance of power. Fearful of Mare's potential the Silvers hide her in plain view declaring her a long-lost Silver princess now engaged to a Silver prince. Despite knowing that one misstep would mean her death Mare works silently to help the Red Guard a militant resistance group and bring down the Silver regime. But this is a world of betrayal and lies and Mare has entered a dangerous dance—Reds against Silvers prince against prince and Mare against her own heart.
Julian Comstock: A Story of 22nd-Century America,Robert Charles Wilson,https://www.goodreads.com/book/show/5997978-julian-comstock,In the reign of President Deklan Comstock a reborn United States is struggling back to prosperity. Over a century after the Efflorescence of Oil after the Fall of the Cities after the Plague of Infertility after the False Tribulation after the days of the Pious Presidents the sixty stars and thirteen stripes wave from the plains of Athabaska to the national capital in New York City. In Colorado Springs the Dominion sees to the nation’s spiritual needs. In Labrador the Army wages war on the Dutch. America unified is rising once again.  Then out of Labrador come tales of a new Ajax—Captain Commongold the Youthful Hero of the Saguenay. The ordinary people follow his adventures in the popular press. The Army adores him. The President is…troubled. Especially when the dashing Captain turns out to be his nephew Julian son of the falsely accused and executed Bryce.  Treachery and intrigue dog Julian’s footsteps. Hairsbreadth escapes and daring rescues fill his days. Stern resolve and tender sentiment dice for Julian’s soul while his admiration for the works of the Secular Ancients and his adherence to the evolutionary doctrines of the heretical Darwin set him at fatal odds with the hierarchy of the Dominion. Plague and fire swirl around the Presidential palace when at last he arrives with the acclamation of the mob.  As told by Julian’s best friend and faithful companion a rustic yet observant lad from the west this tale of the 22nd Century asks— and answers—the age-old question: “Do you want to tell the truth or do you want to tell a story?”
We Are Legion (We Are Bob),Dennis E. Taylor,https://www.goodreads.com/book/show/32109569-we-are-legion-we-are-bob,Alternate Cover Edition can be found here.  Bob Johansson has just sold his software company and is looking forward to a life of leisure. There are places to go books to read and movies to watch. So it's a little unfair when he gets himself killed crossing the street.  Bob wakes up a century later to find that corpsicles have been declared to be without rights and he is now the property of the state. He has been uploaded into computer hardware and is slated to be the controlling AI in an interstellar probe looking for habitable planets. The stakes are high: no less than the first claim to entire worlds. If he declines the honor he'll be switched off and they'll try again with someone else. If he accepts he becomes a prime target. There are at least three other countries trying to get their own probes launched first and they play dirty.  The safest place for Bob is in space heading away from Earth at top speed. Or so he thinks. Because the universe is full of nasties and trespassers make them mad - very mad.
As the Green Star Rises,Lin Carter,https://www.goodreads.com/book/show/2351824.As_the_Green_Star_Rises,As the Green Star Rises is the fourth novel in the Green Star saga.
The Pawns of Null-A,"A.E. van Vogt, Bruce Pennington (Illustrator)",https://www.goodreads.com/book/show/6370192-the-pawns-of-null-a,"Gilbert Gosseyn the null-A genius of the Earth-Venus war never realized that this interplanetary war was but a borrowed incident in a greater conflict until he was thrust onto the galactic battlefield as a mere pawn. But in picking Gosseyn as ""expendable"" those cosmic opponents unleashed forces they had never dreamed existed. One was the entrance of a powerful third party in the war. The second was the ability of certain other pawns to foresee the future. Finally there was the secret of Gosseyn's original purpose - a secret which could decide the fate of the entire galaxy!"
Mists of Dawn,Chad Oliver,https://www.goodreads.com/book/show/2337028.Mists_of_Dawn,A 17-year-old makes an unplanned trip through space and time to Europe 50000 years ago where Neanderthal and Cro-Magnon man engage in conflict for survival.
Forests of the Night,S. Andrew Swann,https://www.goodreads.com/book/show/411112.Forests_of_the_Night,Set in Cleveland 100 years in the future this debut novel is the story of Nohar Rajasthan Private Eye who's a moreau--descended from genetically manipulated tiger stock. When Nohar is hired by a being illegally created from human stock to look into a murder he finds himself caught up in a conspiracy of awesome proportions.
"Saga, Vol. 1","Brian K. Vaughan (Writer), Fiona Staples (Artist)",https://www.goodreads.com/book/show/15704307-saga-vol-1,When two soldiers from opposite sides of a never-ending galactic war fall in love they risk everything to bring a fragile new life into a dangerous old universe.  From bestselling writer Brian K. Vaughan Saga is the sweeping tale of one young family fighting to find their place in the worlds. Fantasy and science fiction are wed like never before in this sexy subversive drama for adults.  Collecting: Saga 1-6
Lagoon,Nnedi Okorafor,https://www.goodreads.com/book/show/18753656-lagoon,When a massive object crashes into the ocean off the coast of Lagos Nigeria’s most populous and legendary city three people wandering along Bar Beach (Adaora the marine biologist- Anthony the rapper famous throughout Africa- Agu the troubled soldier) find themselves running a race against time to save the country they love and the world itself… from itself.  Told from multiple points of view and crisscrossing narratives combining everything from superhero comics to Nigerian mythology to tie together a story about a city consuming itself.  ‘There was no time to flee. No time to turn. No time to shriek. And there was no pain. It was like being thrown into the stars.’
Saturn's Children,Charles Stross,https://www.goodreads.com/book/show/2278387.Saturn_s_Children,Sometime in the twenty-third century humanity went extinct—leaving only androids behind. Freya Nakamichi 47 is a femmebot one of the last of her kind still functioning. With no humans left to pay for the pleasures she provides she agrees to transport a mysterious package from Mercury to Mars. Unfortunately for Freya she has just made herself a moving target for some very powerful very determined humanoids who will stop at nothing to possess the contents of the package.
A Wrinkle in Time,Madeleine L'Engle,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,It was a dark and stormy night.  Out of this wild night a strange visitor comes to the Murry house and beckons Meg her brother Charles Wallace and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.  Winner of the 1963 Newbery Medal A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.
To Live Forever,Jack Vance,https://www.goodreads.com/book/show/468018.To_Live_Forever,In the far-future city of Clarges you can live forever – if you can make the grade.  In Clarges everyone competes for the ultimate prize: immortality. Gavin Waylock had that prize – the live-forever rank of Amaranth but lost it when he was accused of murder. Now after seven years in hiding he begins again the struggle to reach the top. But a strong-willed womanThe Jacynth Martin is determined to see him fail – and failure means death.  SF Grandmaster Jack Vance crafts a classic tale of man against dystopia rich in intrigue suspense and dark humor.   - Last published by DAW in 1982--out of print for over 20 years!
The Snow Queen,Joan D. Vinge,https://www.goodreads.com/book/show/139986.The_Snow_Queen,This reissue of a modern classic of science fiction the Hugo and Locus Award-winning and Nebula-nominated The Snow Queen marks the first time the book has been reprinted in fifteen years. The imperious Winter colonists have ruled the planet Tiamat for 150 years deriving wealth from the slaughter of the sea mers. But soon the galactic stargate will close isolating Tiamat and the 150-year reign of the Summer primitives will begin. Their only chance at surviving the change is if Arienrhod the ageless corrupt Snow Queen can destroy destiny with an act of genocide. Arienrhod is not without competition as Moon a young Summer-tribe sibyl and the nemesis of the Snow Queen battles to break a conspiracy that spans space. Interstellar politics a millennia-long secret conspiracy and a civilization whose hidden machineries might still control the fate of worlds all form the background to this spectacular hard science fiction novel from Joan D. Vinge.
Thorns,Robert Silverberg,https://www.goodreads.com/book/show/872291.Thorns,Duncan Chalk is a monstrous media mogul with a vast appetite for other people's pain. He feeds off it and carefully nurtures it in order to feed it to the public. It is inevitable that Chalk should home in on Minner Burris a space traveller whose body was taken apart by alien surgeons and then put back together again - differently. Burris' pain is constant. And so is that of Lona Kelvin used by scientists to supply eggs for 100 children and then ruthlessly discarded. Only an emotional vampire like Chalk can see the huge audience eager to watch a relationship develop between these two damaged people. And only Chalk can make it happen. First published in 1967
The Mysterious Planet,"Lester del Rey, David B. Mattingly (Cover Artist)",https://www.goodreads.com/book/show/230443.The_Mysterious_Planet,"""The wanderer gleamed balefully in the sky - was it a new world for Man or a messenger of ultimate destruction?"" Planet X discovered out beyond Pluto - ""... if the might of the Federation met the advanced weaponry of the aliens... the inevitable clash would surely destroy all life in the solar system!"""
The Super Barbarians,John Brunner,https://www.goodreads.com/book/show/6277582-the-super-barbarians,The Acre was the only part of an entire world where Earthmen were allowed to live as they pleased and as they were accustomed. For elsewhere on Quallavarra humanity was forced into servitude by the Vorra THE SUPER BARBARIANS who has somehow managed to conquer space.  But within the Acre the underling Terrestrials had cooked up a neat method of keeping teir conquerors from stamping them out altogether. They had uncovered a diabolical Earth secret the Vorra couldn't abide - and yet couldn't do without.
